CollegeID,College Name,University,City,State
4236,Shri Rawatpura Sarkar Institute of Technology and Management,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Kudan,Madhya Pradesh
4237,Lakshmi Bai Sahuji Institute of Engineering and Technology,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",Jabalpur,Madhya Pradesh
4238,Ghanshyam Hemlata Institute of Technology and Management,"Biju Patnaik University of Technology, Rourkela",Puri,Odisha
4239,Tawi Engineering College,"IK Gujral Punjab Technical University, Jalandhar",Pathankot,Punjab
4240,MK School of Engineering and Technology,"IK Gujral Punjab Technical University, Jalandhar",Jethuwal,Punjab
4241,CGC Institute of Architecture,"Chandigarh University, Chandigarh",Gharuan,Punjab
4242,Shyam Institute of Engineering and Technology,"Shyam University, Dausa",Lalsot,Rajasthan
4243,Rajasthan Vidyapeeth Technology College,"Janardan Rai Nagar Rajasthan Vidyapeeth, Udaipur",Udaipur,Rajasthan
4244,Aryabhatta College of Engineering and Research Centre,"Rajasthan Technical University, Kota",Ajmer,Rajasthan
4245,Shree Ram Mulkh Institute of Engineering and Technology,"Kurukshetra University, Kurukshetra",Kohra-Bhura,Haryana
4246,BM Group of Institutions,"Maharshi Dayanand University, Rohtak",Gurgaon,Haryana
4247,Brahmanand Group of Institutions,"Dr APJ Abdul Kalam Technical University, Lucknow",Bulandshahr,Uttar Pradesh
4248,Institute of Architecture and Town Planning,"Dr APJ Abdul Kalam Technical University, Lucknow",Bargadi Magath,Uttar Pradesh
4249,Pragna Bharath Institute of Technology,"Jawaharlal Nehru Technological University, Kakinada",Mudimyal,Telangana
4250,Dr Paul Raj Engineering College,"Jawaharlal Nehru Technological University, Kakinada",East Godavari,Andhra Pradesh
4251,Vivekanandha Institute of Engineering and Technology for Women,"Anna University, Chennai",Elaiyampalayam,Tamil Nadu
